Diseases,DiseasesID,PMID
extremophilic organisms,D019965 ,15046570
Extremophilic organisms,D019965 ,37490857
Stress,D000079225,37490857
haloalkaliphilic bacteria,C537702,32323057
dryness,D014987,26733008
Alkaliphilic/Alkali-Tolerant Fungi,D006934 ,37367588
Alkaliphilic and alkali-tolerant fungi,D006934,37367588
alkaliphilic microbial,D015163,30796504
exceptions extremophilic bacteria,C537702,8688447
Extremophilic lipases,614025,35688350
cold active thermophilic and psychrophilic lipases,D000067390 ,35688350
alkaliphilic lipases,614025,35688350
extremophilic lipases,614025,35688350
toxicity,D064420,37317247
stress,D000079225,33643258
alkalithermophilic bacteria,C537702,9783173
alkaliphilic Bacillus,D000881,9783164
cancer,D009369,31734456
fascinating alkaliphiles' pH homeostasis,D010677,31273417
halo(alkali)philic archaea,D006934 ,33538376
 halo(natrono)archaea,D055882 ,33538376
 neutrophilic haloarchaea,C564275 ,33538376
 hypersaline anoxic habitats,D002534,33538376
Extremophilic microbial metabolism,D015163,37839067
alkaliphilic Bacillus,D000881,9680303
stress,D000079225,34402982
stress,D000079225,23686381
 haloalkaliphilic organisms,D019965,26025020
decrease of alkaliphilic tolerance,D018149 ,33123748
 alkaliphilic bacteria,C537702,33123748
 chromoblastomycosis,D002862 ,29538737
 subcutaneous infection,D007239 ,29538737
 cerebral phaeohyphomycosis,D060425 ,29538737
 Chromoblastomycosis,D002862,29538737
alarming rise,D051270,27362528
Toxicity,D064420 ,28737704
 paralytic,D007418 ,28737704
Extremophilic Oxidoreductases,D054882 ,34458243
 low toxicity,D009800 ,34458243
 extremophilic oxidoreductases,D054882,34458243
MotPS of alkaliphilic Bacillus,D000881 ,27771767
 MotPS-type flagellar motor of alkaliphilic Bacillus alcalophilus AV1934,D000881 ,27771767
 flagellar rotation,D009069,27771767
haloalkaliphilic phototrophic bacteria Ectothiorodospirea,C537702 ,37847305
 haloalkaliphilic phototrophic bacteria Ectothiorhodospirea,C537702,37847305
halo-alkaliphilic microbes,D055882 ,37982082
 extremophilic conditions,D000071069,37982082
 stress,D000079225 ,28418707
 radiation damage,D011832 ,28418707
 Extremophiles-Stress-High temperatures-UV radiation-Desiccation,D000079225,28418707
 fragile habitats,D005600,30888506
depression,D000275,35398716
dryness,D014987,36414646
Cold,D000067390 ,27900683
 cold,D000067390 ,27900683
 permanently cold,D003638,27900683
 Alkaliphilic bacteria,C537702 ,26090360
 alkaliphilic bacteria,C537702,26090360
acidic solfatara,D011015,24414409
 new alkaliphilic,C000657245,36581887
abiotic stresses,D000079225 ,33925342
 dehydration,D003681 ,33925342
 cold,D000067390 ,33925342
 stress,D000079225,33925342
Cardiovascular Diseases,D002318 ,33208066
 CVDs,D002318 ,33208066
 stroke,D020521 ,33208066
 vascular disease,D000783 ,33208066
 ischemic heart disease,D003324 ,33208066
 acute myocardial infarction,D009203 ,33208066
 death,D003643,33208066
Alkaliphilic Bacillus,D000881,9783168
dehydration,D003681 ,29958498
 extremophilic bacteria,C537702,29958498
rheumatic disorders,D012216,36000901
 alkali-halotolerant,D006934,35661272
KPD,D003922 ,36094301
 cytotoxicity,D064420 ,36094301
 infectious diseases,D003141,36094301
extremophile nematodes,D009349,31564490
abiotic stress,D000079225,34256694
vacuolar pH,C536522 ,9783169
 vacuolar H,C536522,9783169
Extremophilic Actinomycetes Strains,D000193 ,33977442
 Extremophilic actinomycetes,D000193,33977442
alkaliphilic actinomycetes,D000193 ,22327111
 tolerant alkaliphilic,D018149 ,22327111
 tolerant alkaliphilic actinomycetes,D000193,22327111
hyper-thermostability,D053306,33515353
alkaliphilic Bacillus,D000881 ,10805564
genus Alcolapia,D056304 ,36250323
 Alcolapia retain,D018457 ,36250323
 Alcolapia alcalica excretes,D011507,36250323
Klebsiella enzyme,D007710,19002649
dehydration,D003681,31624306
dryness,D014987 ,38285274
 stress,D000079225 ,38285274
 death,D003643,38285274
toxicity,D064420,29932648
dryness,D014987 ,30485446
permanently cold,D003638 ,16770690
 cold-active alkaliphiles,D000067390 ,16770690
 alkaliphilic or psychrophilic bacteria,C537702,16770690
insufficiency,D000309,36572161
blooms,D001816,37987855
extremophilic algal strain Galdieria sulphuraria,D013180,35021589
blooms,D001816 ,35384246
 algal blooms,D001816,35384246
haloalkaliphilic bacteria,C537702,33799130
acidophilic Acidiphilium,D000239 ,19411423
 alkaliphilic Bacillus,D000881,19411423
Antarctic Peninsula Region,D003424 ,34228196
Antarctic bacteria,C537702 ,33255932
 extremophile bacteria,C537702,33255932
 alkali-tolerant filamentous fungi,D006934 ,20703955
 alkaliphilic glycosyl hydrolase,C531854,20703955
hyper-alkaline,D053306,22350256
stress,D000079225,24281914
 infected branch,D007239 ,38035483
 infection,D007239,38035483
cold,D000067390 ,22297696
 Paraliobacillus quinghaiensis YIM-C158(T,D001260 ,22297696
 Paraliobacillus ryukyuensis O15-7(T,D020754,22297696
haloalkaliphilic actinomycete,D000193 ,33404954
 fitness,D012640,33404954
extremophile actinomycetes,D000193,30863668
extremophile viviparous nematode,D009349 ,37427410
turnover of dead organic matter,D001926 ,27871132
 conidial swelling,D004487,27871132
stress,D000079225 ,35052375
 abiotic stresses,D000079225,35052375
Stress-Tolerant Bacillus halotolerans Strain,D000079225,34681129
Stress,D000079225,28087527
abiotic stress,D000079225,31722266
Cold,D000067390 ,32833498
 halophilic/psychrophilic bacteria,C537702,32833498
infection,D007239,36721347
Stresses,D000079225 ,35742848
 shock,D012769 ,35742848
 stress,D000079225 ,35742848
 abiotic stresses,D000079225 ,35742848
 osmotic stresses,D000079225 ,35742848
 rosea to abiotic stresses,D000079225,35742848
fitness,D012640 ,37520367
 chemolithoautotrophic iron reducer,C536418,37520367
deep-sea psychrophilic,D009041 ,12910392
 SDS,D000081003,12910392
genus Alcolapia,D056304 ,26547282
Mauritia flexuosa palm,C535620,30304581
hypertrophic condition,D000071069 ,28389755
 hypertrophic,D006984,28389755
Novel alkaliphilic,C000657245,15322951
Streptococcus thermophilus LMD-9 and Lactobacillus rhamnosus GG,C537267,30701281
desiccation stress,D000079225,35190857
stresses,D000079225 ,30897508
 dry matter,D015352,30897508
Alkaliphilic organisms,D019965 ,30457468
 alkaliphilic adaptation,D018489 ,30457468
 stresses,D000079225,30457468
C3 extremophile,C565169,37667571
deep Antarctic,D057887,18622572
alkaliphilic metabolism,D008659 ,33030592
 hallmarks linking alkaliphilic bacteria,D053632 ,33030592
 alkaliphilic bacteria,C537702,33030592
extremophilic bacteria,C537702,31025057
death,D003643 ,27891113
 MBC,D001943,27891113
alkaliphilic fungus,D009181 ,28478604
 alkaliphilic bacteria and alkalitolerant fungi,C537702 ,28478604
 alkaliphilic S,D018455,28478604
leukemia,D007938 ,22295871
 leukemia cancer,D009369 ,22295871
 Cancer,D009369,22295871
abiotic stresses,D000079225,24214268
 exclusive haloalkaliphilic,C580202 ,36937286
 glucose metabolism,D044882 ,36937286
 hyperosmotic conditions,D000071069,36937286
rigidity,D009127,27278384
haloalkaliphilic sulfur-reducing bacterium Desulfurispirillum alkaliphilum,C564972,20407798
shock,D012769 ,38252174
 shock proteins,D012769 ,38252174
 stresses,D000079225 ,38252174
 hyperosmolar stress,D000079225,38252174
stress,D000079225 ,25308761
 osmotic stress,D000079225,25308761
novel alkaliphilic bacillus,C000657245 ,18401746
alkali stresses,D000079225 ,22583823
 stress,D000079225,22583823
Antarctic lichen Dermatocarpon polyphyllizum,D018459,30282060
halotolerant fungus Aspergillus glaucus CCHA,D001228,29681022
synchrotron radiation circular dichroism,D011832 ,27351338
 SRCD,D011832,27351338
ovarian cancer,D010051 ,16808526
 Cancer,D009369,16808526
 F(1)F,102510,21600188
dehydration,D003681,22830585
genus Ralstonia,D056304,18427718
alkali-thermotolerant,D006934,27737605
osteoporosis,D010024,30400922
fitness,D012640,17298474
Klebsiella,D007710,15064989
haloalkaliphilic bacteria,C537702 ,24030483
Stress,D000079225,26909467
CotB anchor,C537277,26026992
toxicity,D064420,14572091
depression,D000275 ,24859438
water deficits,D000069578,25496221
alkaliphilic Bacillus,D000881,11878564
haloalkaliphile's metabolism,D008659,20543878
N-E Tunisia,D016751,21555270
Death,D003643 ,26543264
 dryness,D014987,26543264
vasa deferentia,C535984,29689924
deep-sea cold,D000067390 ,16642262
Leonardo di,D003643,27283019
 neutrophilic heliobacteria,C564275,22588563
novel alkaliphilic organotrophic,C000657245,10741837
Cold,D000067390,27209523
water deficit stress,D003681,31048216
 alkaliphilic bacteria,C537702,15127306
migraine,D008881,12932132
 genus Curvularia,D056304,27920761
shock,D012769 ,20373120
 cold,D000067390,20373120
 alkaliphilic bacterial genera,D016920,23609187
haloalkaliphilic bacteria,C537702 ,16491340
Strain SLAS-1(T,D013180 ,19218420
 SLAS-1(T,D049932,19218420
toxicity,D064420 ,27061088
 dehydration,D003681 ,27061088
 toxicity symptoms,D051271,27061088
dehydrated thallus of the Antarctic,D003681 ,28000023
P deficiency,C537241,26476701
Phosphorus deficiency,D010760 ,21974779
 P stress,D000079225 ,21974779
 P deficiency,C537241,21974779
psychrotolerant species of Cyanobacteria,C564159,26045157
Extremophilic Yeast Yarrowia Lipolytica,D002181 ,26859958
 pH-Stress,D000079225 ,26859958
 alkaliphilic Bacillus,D000881,10972188
novel haloalkaliphilic archaea,C000657245 ,15841343
 motile pleomorphic flats,D015835,15841343
 chemolithoautotrophic genus Acidithiobacillus,D056304,23708551
pressurization,D006973,15844013
alkaliphilic bacteria,C537702,20344941
alkaliphilic bacillus,D000881,11057913
extremophilic proteins,D018455,7908011
alkaliphilic Bacillus YN-2000,D000881,9672682
toxicity,D064420,17673945
