Diseases,DiseasesID,PMID,PMCID
dryness,D014987,26733008,4679917
Alkaliphilic/Alkali-Tolerant Fungi,D006934 ,37367588,10301932
Alkaliphilic and alkali-tolerant fungi,D006934,37367588,10301932
toxicity,D064420,37317247,10223213
stress,D000079225,33643258,7902512
Extremophilic microbial metabolism,D015163,37839067,10577106
Toxicity,D064420 ,28737704,5532675
 paralytic,D007418 ,28737704,5532675
Extremophilic Oxidoreductases,D054882 ,34458243,8387880
 low toxicity,D009800 ,34458243,8387880
 extremophilic oxidoreductases,D054882,34458243,8387880
halo-alkaliphilic microbes,D055882 ,37982082,10651602
 extremophilic conditions,D000071069,37982082,10651602
dryness,D014987,36414646,9681764
 Alkaliphilic bacteria,C537702 ,26090360,4453477
 alkaliphilic bacteria,C537702,26090360,4453477
 new alkaliphilic,C000657245,36581887,9798632
abiotic stresses,D000079225 ,33925342,8123667
 dehydration,D003681 ,33925342,8123667
 cold,D000067390 ,33925342,8123667
 stress,D000079225,33925342,8123667
dehydration,D003681 ,29958498,6026024
 extremophilic bacteria,C537702,29958498,6026024
rheumatic disorders,D012216,36000901,9602452
KPD,D003922 ,36094301,9602519
 cytotoxicity,D064420 ,36094301,9602519
 infectious diseases,D003141,36094301,9602519
abiotic stress,D000079225,34256694,8278772
genus Alcolapia,D056304 ,36250323,9672858
 Alcolapia retain,D018457 ,36250323,9672858
 Alcolapia alcalica excretes,D011507,36250323,9672858
dehydration,D003681,31624306,6797769
toxicity,D064420,29932648,6588267
blooms,D001816 ,35384246,9325388
 algal blooms,D001816,35384246,9325388
acidophilic Acidiphilium,D000239 ,19411423,2704845
 alkaliphilic Bacillus,D000881,19411423,2704845
Antarctic bacteria,C537702 ,33255932,7759928
 extremophile bacteria,C537702,33255932,7759928
extremophile actinomycetes,D000193,30863668,6393050
extremophile viviparous nematode,D009349 ,37427410,10325857
stress,D000079225 ,35052375,8774410
 abiotic stresses,D000079225,35052375,8774410
Stress-Tolerant Bacillus halotolerans Strain,D000079225,34681129,8533444
Stress,D000079225,28087527,5335526
Cold,D000067390 ,32833498,7116095
 halophilic/psychrophilic bacteria,C537702,32833498,7116095
infection,D007239,36721347,9929850
Stresses,D000079225 ,35742848,9223760
 shock,D012769 ,35742848,9223760
 stress,D000079225 ,35742848,9223760
 abiotic stresses,D000079225 ,35742848,9223760
 osmotic stresses,D000079225 ,35742848,9223760
 rosea to abiotic stresses,D000079225,35742848,9223760
fitness,D012640 ,37520367,10376724
 chemolithoautotrophic iron reducer,C536418,37520367,10376724
alkaliphilic metabolism,D008659 ,33030592,7561548
 hallmarks linking alkaliphilic bacteria,D053632 ,33030592,7561548
 alkaliphilic bacteria,C537702,33030592,7561548
death,D003643 ,27891113,5102886
 MBC,D001943,27891113,5102886
leukemia,D007938 ,22295871,3330824
 leukemia cancer,D009369 ,22295871,3330824
 Cancer,D009369,22295871,3330824
abiotic stresses,D000079225,24214268,3894706
 exclusive haloalkaliphilic,C580202 ,36937286,10020504
 glucose metabolism,D044882 ,36937286,10020504
 hyperosmotic conditions,D000071069,36937286,10020504
rigidity,D009127,27278384,4898372
haloalkaliphilic sulfur-reducing bacterium Desulfurispirillum alkaliphilum,C564972,20407798,2898105
shock,D012769 ,38252174,10803503
 shock proteins,D012769 ,38252174,10803503
 stresses,D000079225 ,38252174,10803503
 hyperosmolar stress,D000079225,38252174,10803503
synchrotron radiation circular dichroism,D011832 ,27351338,4924860
 SRCD,D011832,27351338,4924860
osteoporosis,D010024,30400922,6220464
haloalkaliphile's metabolism,D008659,20543878,2881530
Death,D003643 ,26543264,4627947
 dryness,D014987,26543264,4627947
 genus Curvularia,D056304,27920761,5118452
Strain SLAS-1(T,D013180 ,19218420,2663212
 SLAS-1(T,D049932,19218420,2663212
